Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,ISIN
2025-10-24 00:00:00+02:00,42.05699920654297,42.05699920654297,41.9630012512207,41.9630012512207,4,0.0,0.0,0.0,LU2439734141
2025-10-27 00:00:00+01:00,41.96799850463867,41.9739990234375,41.930999755859375,41.9739990234375,66,0.0,0.0,0.0,LU2439734141
2025-10-28 00:00:00+01:00,42.007999420166016,42.01499938964844,41.96699905395508,41.96699905395508,1,0.0,0.0,0.0,LU2439734141
2025-10-29 00:00:00+01:00,42.07600021362305,42.07600021362305,41.986000061035156,41.986000061035156,0,0.0,0.0,0.0,LU2439734141
2025-10-30 00:00:00+01:00,41.94599914550781,42.04999923706055,41.935001373291016,42.04999923706055,0,0.0,0.0,0.0,LU2439734141
2025-10-31 00:00:00+01:00,41.96799850463867,42.05699920654297,41.96799850463867,42.05699920654297,0,0.0,0.0,0.0,LU2439734141
2025-11-03 00:00:00+01:00,42.08599853515625,42.11000061035156,42.013999938964844,42.013999938964844,18,0.0,0.0,0.0,LU2439734141
2025-11-04 00:00:00+01:00,42.04199981689453,42.13100051879883,42.04199981689453,42.13100051879883,11,0.0,0.0,0.0,LU2439734141
2025-11-05 00:00:00+01:00,42.119998931884766,42.119998931884766,42.040000915527344,42.040000915527344,1,0.0,0.0,0.0,LU2439734141
2025-11-06 00:00:00+01:00,41.99700164794922,42.03499984741211,41.99700164794922,42.03499984741211,0,0.0,0.0,0.0,LU2439734141
2025-11-07 00:00:00+01:00,41.99300003051758,41.99300003051758,41.91699981689453,41.91699981689453,0,0.0,0.0,0.0,LU2439734141
2025-11-10 00:00:00+01:00,41.85300064086914,41.96099853515625,41.85300064086914,41.96099853515625,2,0.0,0.0,0.0,LU2439734141
2025-11-11 00:00:00+01:00,41.94200134277344,41.94599914550781,41.90999984741211,41.93299865722656,4,0.0,0.0,0.0,LU2439734141
2025-11-12 00:00:00+01:00,41.933998107910156,41.933998107910156,41.92900085449219,41.92900085449219,0,0.0,0.0,0.0,LU2439734141
2025-11-13 00:00:00+01:00,41.85300064086914,41.875,41.72600173950195,41.72600173950195,2,0.0,0.0,0.0,LU2439734141
2025-11-14 00:00:00+01:00,41.69599914550781,41.74800109863281,41.69599914550781,41.73899841308594,10,0.0,0.0,0.0,LU2439734141
2025-11-17 00:00:00+01:00,41.74700164794922,41.77299880981445,41.731998443603516,41.731998443603516,9,0.0,0.0,0.0,LU2439734141
2025-11-18 00:00:00+01:00,41.733001708984375,41.84700012207031,41.733001708984375,41.77399826049805,1,0.0,0.0,0.0,LU2439734141
2025-11-19 00:00:00+01:00,41.744998931884766,41.79999923706055,41.722999572753906,41.79999923706055,0,0.0,0.0,0.0,LU2439734141
2025-11-20 00:00:00+01:00,41.770999908447266,41.82500076293945,41.763999938964844,41.79600143432617,1,0.0,0.0,0.0,LU2439734141
2025-11-21 00:00:00+01:00,41.82500076293945,41.939998626708984,41.82500076293945,41.91899871826172,104,0.0,0.0,0.0,LU2439734141
2025-11-24 00:00:00+01:00,41.9109992980957,41.9109992980957,41.845001220703125,41.891998291015625,102,0.0,0.0,0.0,LU2439734141
2025-11-25 00:00:00+01:00,41.90800094604492,41.9370002746582,41.90800094604492,41.90800094604492,0,0.0,0.0,0.0,LU2439734141
2025-11-26 00:00:00+01:00,41.87200164794922,41.91899871826172,41.80500030517578,41.854000091552734,11,0.0,0.0,0.0,LU2439734141
2025-11-27 00:00:00+01:00,41.922000885009766,41.922000885009766,41.891998291015625,41.891998291015625,0,0.0,0.0,0.0,LU2439734141
