ISIN,Rendimento_annuo%,Perf_1mese%,Perf_6mesi%,Perf_1anno%,Volatilita_annua%,Max_Drawdown%,VaR_95%_giorno,CVaR_95%_giorno,Ulcer_Index,Sharpe_Ratio,Sortino_Ratio,Calmar_Ratio,Omega_Ratio,Pain_Ratio,Beta,Alpha%,R_Squared,Tracking_Error%,Information_Ratio,Winrate%
IE00B6YX5H87,2.45,0.23,0.44,1.96,2.22,-2.7,-0.21,-0.34,0.7725,-0.514,-0.663,0.909,0.904,3.173,,,,,,54.2
LU0321465469,3.39,0.26,1.82,3.95,0.37,-0.1,-0.02,-0.04,0.0247,-0.55,-0.804,34.85,0.91,136.876,,,,,,64.0
LU2244387457,2.1,0.13,-0.9,-0.04,2.56,-2.4,-0.24,-0.36,0.7125,-0.582,-0.833,0.874,0.906,2.947,,,,,,53.9
LU2533812058,3.05,0.28,0.94,2.13,0.9,-0.73,-0.06,-0.13,0.1017,-0.607,-0.603,4.163,0.881,29.969,,,,,,53.8
IE00BC7GZJ81,2.2,0.23,1.1,3.14,2.23,-5.8,-0.17,-0.26,2.3376,-0.624,-1.118,0.379,0.878,0.942,,,,,,48.1
LU0879397742,0.21,0.19,-0.18,0.4,5.24,-9.42,-0.58,-0.75,4.3682,-0.645,-0.937,0.023,0.895,0.049,,,,,,49.2
IE000AK4O3W6,2.4,0.43,0.2,1.75,1.59,-3.12,-0.14,-0.22,0.9673,-0.753,-1.043,0.769,0.872,2.48,,,,,,55.3
LU2533810862,2.26,0.2,-0.15,0.41,1.74,-1.35,-0.16,-0.22,0.3776,-0.764,-1.235,1.676,0.871,5.994,,,,,,48.8
LU1681041031,2.23,0.73,1.03,2.95,1.77,-2.73,-0.16,-0.26,0.8775,-0.774,-0.949,0.817,0.859,2.538,,,,,,50.4
IE00BM97MR69,3.23,0.26,1.79,3.91,0.46,-0.43,-0.03,-0.05,0.0879,-0.799,-1.094,7.523,0.867,36.722,,,,,,62.3
IE00BLRPPV00,3.23,0.28,1.83,3.87,0.45,-0.37,-0.03,-0.04,0.0675,-0.801,-1.287,8.802,0.869,47.866,,,,,,65.2
IE00B14X4S71,1.87,0.23,1.13,3.55,2.1,-5.66,-0.19,-0.28,2.2325,-0.818,-1.221,0.33,0.857,0.838,,,,,,47.5
IE00BF2FNG46,1.84,0.24,1.1,3.13,2.07,-5.66,-0.18,-0.28,2.237,-0.848,-1.278,0.324,0.855,0.821,,,,,,49.1
IE00BD9MMD49,1.81,0.46,1.13,3.24,1.98,-5.72,-0.17,-0.26,2.2703,-0.901,-1.399,0.316,0.845,0.796,,,,,,51.4
LU0429458895,1.86,0.25,1.12,3.22,1.88,-5.45,-0.17,-0.25,2.1317,-0.924,-1.442,0.341,0.842,0.872,,,,,,51.7
LU1407887089,1.78,0.24,1.03,3.38,1.93,-5.72,-0.17,-0.26,2.2815,-0.939,-1.425,0.311,0.84,0.78,,,,,,48.7
IE00BKWD3C98,3.13,0.3,1.78,3.93,0.48,-0.66,-0.03,-0.05,0.1472,-0.958,-1.319,4.755,0.838,21.295,,,,,,63.9
IE00BC7GZW19,1.5,0.48,0.38,1.87,2.15,-4.96,-0.15,-0.29,1.8657,-0.975,-1.207,0.302,0.811,0.802,,,,,,50.9
LU2178481649,0.98,0.63,-0.18,1.66,2.53,-8.73,-0.25,-0.37,3.8182,-1.035,-1.48,0.112,0.829,0.256,,,,,,50.9
IE00BKT6BH25,0.59,0.71,-0.46,1.33,2.63,-9.24,-0.26,-0.39,4.3367,-1.143,-1.568,0.064,0.809,0.136,,,,,,50.6
IE000WXLHR76,3.05,0.25,0.91,2.01,0.46,-0.22,-0.03,-0.06,0.0281,-1.179,-1.074,14.046,0.77,108.62,,,,,,76.7
LU1681041114,2.05,0.19,1.1,2.52,1.27,-1.64,-0.1,-0.16,0.5467,-1.217,-1.624,1.254,0.797,3.755,,,,,,54.3
LU0321464652,0.04,0.3,-0.13,-0.37,2.78,-3.54,-0.03,-0.32,1.2051,-1.28,-0.603,0.01,0.413,0.03,,,,,,66.1
LU2338178218,0.8,-0.4,1.02,1.72,2.14,-6.4,-0.17,-0.27,3.0631,-1.305,-1.885,0.126,0.74,0.263,,,,,,29.4
IE00BYZTVV78,1.5,0.5,0.34,1.92,1.57,-4.9,-0.14,-0.22,1.8493,-1.334,-1.864,0.305,0.786,0.809,,,,,,52.0
LU2008760592,1.19,0.51,-0.07,1.53,1.8,-6.94,-0.17,-0.26,2.8116,-1.338,-1.815,0.171,0.781,0.423,,,,,,52.1
LU2098180271,2.5,0.24,0.68,1.46,0.82,-0.35,-0.06,-0.1,0.0676,-1.345,-1.826,7.119,0.781,36.921,,,,,,48.7
IE00BG5QQ390,0.97,0.3,0.67,2.11,1.88,-6.22,-0.18,-0.25,2.7949,-1.4,-2.131,0.155,0.785,0.346,,,,,,50.0
LU2037748774,1.45,0.41,0.3,1.8,1.38,-5.04,-0.13,-0.19,1.9179,-1.552,-2.184,0.288,0.754,0.757,,,,,,52.5
LU1324510525,-0.09,0.09,0.11,1.03,2.35,-7.95,-0.17,-0.32,4.606,-1.564,-1.569,-0.011,0.663,-0.019,,,,,,26.0
LU0925589839,0.8,0.22,-0.2,0.57,1.73,-5.53,-0.17,-0.25,2.4322,-1.614,-2.306,0.145,0.743,0.329,,,,,,49.6
LU0613540268,1.59,0.1,0.71,1.71,1.24,-1.5,-0.09,-0.16,0.4989,-1.621,-2.122,1.059,0.728,3.182,,,,,,47.7
LU1681046345,0.62,0.16,-0.18,0.56,1.8,-5.92,-0.16,-0.25,2.6301,-1.649,-2.161,0.104,0.718,0.235,,,,,,39.6
LU1650487413,0.48,0.12,-0.25,0.31,1.78,-6.06,-0.17,-0.25,2.7117,-1.747,-2.555,0.079,0.726,0.177,,,,,,48.2
IE00BYVZV757,0.54,0.16,-0.19,0.51,1.74,-5.92,-0.16,-0.26,2.6536,-1.75,-1.977,0.091,0.671,0.204,,,,,,31.9
IE00BFWXDY69,2.02,0.36,0.69,1.87,0.87,-1.21,-0.08,-0.13,0.301,-1.808,-2.349,1.666,0.725,6.701,,,,,,52.5
IE00B14X4Q57,0.74,0.19,-0.05,0.72,1.57,-5.2,-0.15,-0.21,2.2657,-1.815,-2.763,0.142,0.722,0.326,,,,,,48.1
LU0290356871,0.61,0.2,-0.12,0.61,1.63,-5.67,-0.16,-0.22,2.5051,-1.832,-2.744,0.108,0.717,0.244,,,,,,49.0
LU1407887329,-0.12,0.06,0.07,0.64,2.03,-8.06,-0.18,-0.27,4.5312,-1.833,-2.66,-0.015,0.705,-0.027,,,,,,42.3
IE00B6YX5F63,0.51,0.17,-0.14,0.41,1.65,-5.99,-0.16,-0.22,2.6949,-1.872,-2.845,0.086,0.713,0.19,,,,,,49.2
IE00B3VTMJ91,0.75,0.18,-0.02,0.57,1.5,-5.19,-0.15,-0.21,2.2573,-1.901,-2.821,0.144,0.708,0.331,,,,,,49.8
FR0010754200,1.6,0.16,0.98,1.86,0.99,-1.24,-0.05,-0.11,0.4698,-2.012,-1.895,1.289,0.565,3.404,,,,,,51.1
LU1829219556,0.2,0.12,-0.22,0.37,1.65,-6.63,-0.15,-0.23,3.0646,-2.059,-2.738,0.03,0.662,0.065,,,,,,35.4
IE00B3BPCH51,1.66,0.08,0.94,1.85,0.89,-1.65,-0.06,-0.12,0.4619,-2.157,-1.873,1.009,0.606,3.603,,,,,,44.9
IE00B5ZR2157,1.74,0.34,0.88,2.35,0.6,-3.46,-0.04,-0.08,1.1908,-3.112,-3.389,0.503,0.55,1.46,,,,,,58.8
IE00BD9MMF62,1.86,0.37,0.88,1.98,0.52,-1.36,-0.04,-0.07,0.4743,-3.341,-4.669,1.369,0.561,3.925,,,,,,56.4
IE00B3FH7618,1.47,0.19,0.84,1.75,0.48,-1.62,-0.04,-0.06,0.6096,-4.424,-6.868,0.905,0.468,2.408,,,,,,49.4
DE000A0Q4RZ9,1.3,0.18,0.8,1.53,0.48,-1.76,-0.04,-0.06,0.6781,-4.769,-7.886,0.736,0.451,1.911,,,,,,56.2
FR0010510800,1.77,0.12,0.99,1.92,0.35,-0.91,-0.02,-0.04,0.3611,-5.208,-7.648,1.952,0.409,4.896,,,,,,59.7
