ISIN,Rendimento_annuo%,Perf_1mese%,Perf_6mesi%,Perf_1anno%,Volatilita_annua%,Max_Drawdown%,VaR_95%_giorno,CVaR_95%_giorno,Ulcer_Index,Sharpe_Ratio,Sortino_Ratio,Calmar_Ratio,Omega_Ratio,Pain_Ratio,Beta,Alpha%,R_Squared,Tracking_Error%,Information_Ratio,Winrate%
LU1834988278,70.65,2.52,40.81,,17.66,-5.51,-1.67,-2.44,1.558,3.797,4.899,12.814,1.86,45.343,,,,,,67.2
IE000DR59CI3,86.21,24.74,49.86,,30.28,-13.79,-2.52,-3.48,6.0173,2.728,4.572,6.252,1.61,14.326,,,,,,53.6
FR0010930644,54.22,8.56,29.53,,20.06,-8.59,-1.84,-2.47,3.7127,2.524,4.047,6.31,1.492,14.604,,,,,,57.6
IE0004U3TX15,59.01,24.53,31.62,,26.91,-13.46,-2.37,-2.88,4.5424,2.059,3.786,4.383,1.42,12.99,,,,,,54.4
IE000YU9K6K2,92.14,7.58,,,46.37,-20.2,-4.04,-4.69,7.4089,1.91,3.78,4.563,1.364,12.437,,,,,,57.3
FR0010524777,61.06,11.54,33.85,,21.16,-7.77,-1.99,-2.81,2.9326,2.716,3.758,7.861,1.594,20.821,,,,,,60.0
IE000JZYIUN0,49.6,10.73,26.62,,20.0,-8.62,-1.62,-2.56,3.3358,2.301,3.591,5.751,1.46,14.87,,,,,,52.8
IE000AIFGRB9,58.4,-3.08,32.22,,20.18,-9.64,-1.9,-2.83,2.5726,2.716,3.574,6.058,1.583,22.701,,,,,,59.2
IE000OKVTDF7,29.79,10.15,15.33,,14.35,-8.3,-1.27,-1.47,2.7341,1.825,3.558,3.589,1.37,10.896,,,,,,50.4
LU2976312418,30.73,5.28,,,11.99,-6.52,-1.08,-1.52,2.0581,2.263,3.552,4.713,1.426,14.929,,,,,,61.5
IE000J0LN0R5,60.33,-3.91,,,21.22,-12.35,-1.98,-3.09,3.3247,2.674,3.535,4.884,1.558,18.148,,,,,,56.9
IE00BK5BCH80,62.27,10.41,33.84,,26.41,-9.85,-2.46,-3.34,3.28,2.222,3.532,6.325,1.453,18.986,,,,,,58.4
IE000PNL0242,34.98,8.08,,,18.02,-9.41,-1.45,-1.81,3.1363,1.742,3.526,3.716,1.341,11.154,,,,,,53.2
FR0013412004,51.61,3.83,27.72,,21.24,-9.51,-2.09,-2.72,3.1007,2.26,3.523,5.427,1.45,16.644,,,,,,54.4
IE000JNHCBM6,56.13,1.68,,,21.14,-6.48,-1.8,-2.74,2.2335,2.485,3.485,8.657,1.527,25.133,,,,,,55.6
