ISIN,Rendimento_annuo%,Perf_1mese%,Perf_6mesi%,Perf_1anno%,Volatilita_annua%,Max_Drawdown%,VaR_95%_giorno,CVaR_95%_giorno,Ulcer_Index,Sharpe_Ratio,Sortino_Ratio,Calmar_Ratio,Omega_Ratio,Pain_Ratio,Beta,Alpha%,R_Squared,Tracking_Error%,Information_Ratio,Winrate%
LU2244387457,2.1,0.13,-0.9,-0.04,2.56,-2.4,-0.24,-0.36,0.7125,-0.582,-0.833,0.874,0.906,2.947,,,,,,53.9
IE00B3VWN393,0.71,0.29,0.37,4.1,4.91,-13.7,-0.51,-0.65,7.0855,-0.587,-0.942,0.052,0.902,0.101,,,,,,48.4
IE000LG8P349,0.05,0.0,-6.51,-7.82,6.02,-12.77,-0.59,-1.0,5.277,-0.589,-0.58,0.004,0.871,0.009,,,,,,30.2
IE00BDT8V027,-2.76,1.3,-3.06,3.03,10.49,-29.71,-1.05,-1.57,17.11,-0.606,-0.813,-0.093,0.897,-0.161,,,,,,50.9
LU2533812058,3.05,0.28,0.94,2.13,0.9,-0.73,-0.06,-0.13,0.1017,-0.607,-0.603,4.163,0.881,29.969,,,,,,53.8
IE00BZ036J45,-1.59,0.64,-2.24,3.96,8.36,-26.97,-0.87,-1.24,16.3028,-0.62,-0.887,-0.059,0.9,-0.098,,,,,,50.1
IE00BLP53M98,0.52,2.85,1.27,4.99,4.93,-15.59,-0.51,-0.69,8.5376,-0.623,-0.935,0.033,0.9,0.061,,,,,,48.8
IE00BF2FNQ44,0.64,0.1,0.22,2.82,4.73,-13.54,-0.47,-0.65,6.954,-0.624,-0.98,0.047,0.896,0.092,,,,,,49.0
IE00BC7GZJ81,2.2,0.23,1.1,3.14,2.23,-5.8,-0.17,-0.26,2.3376,-0.624,-1.118,0.379,0.878,0.942,,,,,,48.1
LU1459803059,-6.19,0.38,-5.5,-1.4,15.46,-44.65,-1.45,-2.49,33.3787,-0.632,-0.625,-0.139,0.866,-0.185,,,,,,30.4
IE00BD4DXB77,-1.73,2.18,-0.99,6.1,8.35,-28.06,-0.85,-1.2,17.0549,-0.637,-0.906,-0.062,0.894,-0.101,,,,,,49.5
LU1686831030,-2.37,2.69,0.52,8.33,9.31,-28.85,-0.93,-1.38,19.0576,-0.64,-0.82,-0.082,0.889,-0.124,,,,,,49.4
IE00BMGNVD65,0.67,0.34,-0.25,3.25,4.54,-15.23,-0.43,-0.62,7.2118,-0.644,-0.932,0.044,0.888,0.092,,,,,,42.4
LU0879397742,0.21,0.19,-0.18,0.4,5.24,-9.42,-0.58,-0.75,4.3682,-0.645,-0.937,0.023,0.895,0.049,,,,,,49.2
IE00B7LW6Y90,-0.75,0.46,-1.73,0.53,6.69,-20.51,-0.58,-1.05,11.6323,-0.649,-0.654,-0.036,0.852,-0.064,,,,,,31.2
LU0429459356,-0.14,0.69,-0.28,2.72,5.75,-17.01,-0.6,-0.79,9.6934,-0.649,-1.017,-0.008,0.897,-0.014,,,,,,49.9
IE00BF2GFH28,-0.1,0.03,-0.36,2.54,5.67,-16.4,-0.58,-0.76,9.2931,-0.651,-1.05,-0.006,0.898,-0.011,,,,,,49.0
IE00B44CND37,-0.16,0.02,-0.37,2.55,5.74,-16.72,-0.58,-0.78,9.5616,-0.654,-1.043,-0.01,0.895,-0.017,,,,,,49.4
IE00BL6K6H97,-0.25,0.42,-6.93,-9.85,5.85,-11.65,-0.6,-0.89,5.1347,-0.656,-0.892,-0.021,0.892,-0.048,,,,,,51.0
LU1931975236,-3.93,-1.48,-5.91,-4.06,11.39,-23.29,-0.7,-1.24,15.6489,-0.661,-0.827,-0.169,0.849,-0.251,,,,,,46.0
IE00BK95B138,-0.15,-0.06,-0.42,3.56,5.58,-16.49,-0.57,-0.74,9.3414,-0.67,-1.066,-0.009,0.893,-0.016,,,,,,48.6
LU1048317025,-1.59,0.45,-1.66,2.79,7.7,-26.18,-0.82,-1.16,16.1713,-0.673,-0.941,-0.061,0.89,-0.098,,,,,,49.9
IE00BGYWFS63,-0.16,-0.06,-0.41,2.39,5.55,-16.41,-0.58,-0.76,9.3513,-0.675,-1.06,-0.01,0.893,-0.017,,,,,,49.0
IE00BZ163M45,-0.16,0.0,-0.34,2.42,5.53,-16.6,-0.56,-0.76,9.3657,-0.679,-1.069,-0.01,0.892,-0.017,,,,,,49.7
LU2365458731,-1.73,0.94,-1.32,-0.22,7.82,-16.95,-0.75,-1.12,10.4986,-0.681,-1.005,-0.102,0.886,-0.165,,,,,,49.9
LU1407890547,-5.96,-0.44,-3.61,1.72,14.0,-40.18,-1.51,-1.94,28.1842,-0.682,-1.058,-0.148,0.895,-0.211,,,,,,48.6
LU1215461325,-1.61,0.37,-1.33,3.6,7.59,-25.61,-0.81,-1.2,15.9494,-0.685,-0.863,-0.063,0.876,-0.101,,,,,,38.7
LU0290357259,-2.11,0.8,-1.3,-0.11,8.32,-22.92,-0.8,-1.2,14.9872,-0.685,-0.981,-0.092,0.879,-0.141,,,,,,48.1
IE00BJJPVP04,0.18,0.1,0.06,3.37,4.95,-14.15,-0.47,-0.68,7.9663,-0.69,-0.939,0.013,0.87,0.023,,,,,,37.4
LU1778293313,0.6,0.47,-0.2,3.3,4.28,-15.0,-0.43,-0.59,7.1747,-0.7,-1.036,0.04,0.883,0.083,,,,,,45.2
LU0290357929,-2.03,0.45,-0.44,2.14,8.03,-24.61,-0.76,-1.14,17.4153,-0.7,-1.0,-0.083,0.883,-0.117,,,,,,49.1
IE0000J0F3C5,-1.98,0.67,-1.41,3.29,7.93,-23.47,-0.85,-1.18,14.4255,-0.702,-1.012,-0.084,0.886,-0.137,,,,,,48.9
LU2365458814,-1.75,0.97,-1.29,-0.22,7.59,-16.95,-0.73,-1.09,10.5061,-0.704,-1.043,-0.103,0.884,-0.167,,,,,,48.9
IE00BJL36X53,0.49,1.21,0.6,3.86,4.41,-13.5,-0.39,-0.65,7.0407,-0.705,-0.827,0.036,0.864,0.069,,,,,,51.4
IE000GSIFIB0,-6.83,-1.9,0.32,3.36,14.76,-25.27,-0.59,-1.54,17.0892,-0.706,-0.419,-0.27,0.713,-0.4,,,,,,69.3
NL0009690247,-0.18,0.76,-1.46,1.25,5.32,-17.02,-0.52,-0.78,8.3766,-0.709,-0.996,-0.01,0.88,-0.021,,,,,,50.0
IE00B1FZSB30,-3.64,-0.49,-2.25,-0.05,10.14,-33.49,-0.97,-1.35,22.1637,-0.713,-1.114,-0.109,0.878,-0.164,,,,,,46.6
LU1603790731,0.41,0.27,-0.78,1.43,4.45,-13.29,-0.42,-0.67,6.6429,-0.716,-0.851,0.031,0.858,0.061,,,,,,32.1
LU1452600437,-0.72,0.88,-0.53,1.58,6.02,-19.08,-0.61,-0.91,12.1111,-0.716,-0.959,-0.038,0.878,-0.059,,,,,,47.0
