ISIN,Rendimento_annuo%,Perf_1mese%,Perf_6mesi%,Perf_1anno%,Volatilita_annua%,Max_Drawdown%,VaR_95%_giorno,CVaR_95%_giorno,Ulcer_Index,Sharpe_Ratio,Sortino_Ratio,Calmar_Ratio,Omega_Ratio,Pain_Ratio,Beta,Alpha%,R_Squared,Tracking_Error%,Information_Ratio,Winrate%
IE000BXC49I6,17.15,10.86,3.99,26.01,13.98,-16.07,-1.26,-1.96,3.0851,0.969,1.356,1.067,1.187,5.559,,,,,,55.1
LU0629460089,18.52,13.05,3.13,26.55,15.98,-20.88,-1.51,-2.26,4.5022,0.934,1.264,0.887,1.182,4.113,,,,,,56.2
IE0004J37T45,16.94,9.39,4.53,26.76,14.46,-23.1,-1.24,-2.16,5.5116,0.923,1.142,0.733,1.187,3.073,,,,,,56.7
IE000W8HP9L8,16.59,7.69,3.83,21.71,14.08,-21.7,-1.17,-2.09,4.7249,0.923,1.119,0.765,1.188,3.511,,,,,,57.7
IE000WYX67F4,6.51,1.01,0.08,3.86,3.17,-2.48,-0.31,-0.4,0.5966,0.922,1.493,2.622,1.169,10.914,,,,,,55.4
IE000R9FA4A0,17.24,12.0,4.88,30.07,15.16,-19.44,-1.46,-2.18,4.8813,0.9,1.247,0.887,1.173,3.531,,,,,,55.4
IE00B53L4X51,19.54,9.73,16.67,38.86,18.11,-25.06,-1.79,-2.79,7.4681,0.88,1.121,0.78,1.166,2.616,,,,,,55.7
IE0001UQQ933,15.04,7.16,7.01,22.33,13.06,-19.22,-1.18,-1.94,3.7025,0.876,1.104,0.783,1.167,4.062,,,,,,55.9
LU0274212538,19.43,9.78,13.83,30.59,18.11,-25.06,-1.77,-2.79,7.4742,0.874,1.111,0.775,1.164,2.6,,,,,,56.6
FR0010010827,19.23,9.74,12.76,29.51,18.0,-25.17,-1.77,-2.76,7.4626,0.868,1.105,0.764,1.163,2.576,,,,,,56.8
IE000XZSV718,25.54,11.41,3.76,30.75,25.37,-20.78,-1.29,-2.64,3.4086,0.865,0.99,1.229,1.286,7.493,,,,,,56.6
IE00BMYDM919,16.07,4.81,14.64,29.65,14.44,-20.22,-1.41,-2.22,5.1222,0.864,1.099,0.795,1.164,3.137,,,,,,56.9
IE00BMFKG444,22.94,16.92,4.16,36.5,22.74,-27.52,-1.95,-2.79,9.1274,0.851,1.406,0.834,1.179,2.513,,,,,,55.4
IE00BKWQ0G16,19.43,8.46,10.0,23.42,18.72,-23.11,-1.73,-2.91,6.9267,0.846,1.066,0.841,1.161,2.806,,,,,,56.6
IE000EPX8KB7,10.21,2.45,0.77,11.74,7.97,-12.69,-0.71,-1.19,2.1071,0.83,0.978,0.805,1.174,4.845,,,,,,58.5
LU1681037518,18.78,11.33,11.8,30.12,18.37,-26.06,-1.8,-2.84,7.6863,0.827,1.052,0.721,1.155,2.444,,,,,,55.4
LU1681041544,15.29,6.63,6.19,13.92,14.44,-15.81,-1.38,-2.12,3.0382,0.81,1.07,0.967,1.154,5.032,,,,,,56.5
IE00B53H0131,13.49,3.48,23.84,30.48,12.3,-11.34,-1.21,-1.76,3.9359,0.805,1.119,1.189,1.144,3.428,,,,,,55.2
IE0001GSQ2O9,15.03,8.17,4.28,19.74,14.26,-21.67,-1.29,-2.14,4.8518,0.802,0.975,0.693,1.162,3.098,,,,,,55.7
IE00B3VSSL01,22.17,21.63,0.96,45.58,23.72,-34.26,-2.43,-3.28,12.5085,0.783,1.134,0.647,1.142,1.772,,,,,,56.2
