ISIN,Rendimento_annuo%,Perf_1mese%,Perf_6mesi%,Perf_1anno%,Volatilita_annua%,Max_Drawdown%,VaR_95%_giorno,CVaR_95%_giorno,Ulcer_Index,Sharpe_Ratio,Sortino_Ratio,Calmar_Ratio,Omega_Ratio,Pain_Ratio,Beta,Alpha%,R_Squared,Tracking_Error%,Information_Ratio,Winrate%
IE000U1MQKJ2,17.64,9.74,6.78,23.95,13.78,-16.96,-1.29,-1.87,3.2723,1.019,1.476,1.04,1.194,5.39,,,,,,54.1
IE0000VX9GN7,19.17,12.0,5.03,30.62,14.17,-19.47,-1.33,-2.04,3.718,1.099,1.463,0.985,1.221,5.156,,,,,,55.7
IE000GOJO2A3,20.49,10.92,15.96,42.33,16.87,-16.23,-1.5,-2.33,4.3354,1.001,1.459,1.262,1.193,4.726,,,,,,52.8
IE000PEAJOT0,19.15,13.21,3.6,24.63,14.35,-19.34,-1.34,-2.05,3.9031,1.084,1.457,0.99,1.214,4.905,,,,,,57.6
IE0008T6IUX0,20.5,10.74,15.94,42.4,16.95,-16.2,-1.5,-2.34,4.3243,0.998,1.451,1.265,1.192,4.74,,,,,,53.0
IE0003NQ0IY5,17.77,9.38,6.35,27.07,13.95,-18.98,-1.31,-1.91,3.8235,1.016,1.451,0.936,1.195,4.646,,,,,,55.0
IE00BMYDMB35,17.41,6.0,12.99,44.97,18.26,-17.88,-1.36,-1.95,5.7728,0.757,1.444,0.974,1.174,3.016,,,,,,51.5
IE00BLSN7P11,21.22,13.31,8.01,35.87,15.69,-19.26,-1.51,-2.27,3.6641,1.124,1.442,1.102,1.242,5.791,,,,,,51.3
IE000UQND7H4,17.61,10.12,4.4,26.22,14.22,-17.52,-1.29,-1.89,4.2444,0.986,1.434,1.005,1.188,4.149,,,,,,53.5
IE000Z7ELYY2,20.25,1.9,19.93,27.19,16.01,-15.92,-1.59,-2.28,4.2198,1.041,1.433,1.272,1.204,4.799,,,,,,50.3
IE00023EZQ82,24.52,16.99,-4.53,18.64,21.32,-21.89,-2.17,-2.97,7.1084,0.982,1.431,1.12,1.182,3.45,,,,,,52.6
IE00BDR55471,20.96,12.58,7.27,31.87,16.39,-18.83,-1.54,-2.39,3.6647,1.06,1.427,1.113,1.214,5.719,,,,,,53.1
