ISIN,Rendimento_annuo%,Perf_1mese%,Perf_6mesi%,Perf_1anno%,Volatilita_annua%,Max_Drawdown%,VaR_95%_giorno,CVaR_95%_giorno,Ulcer_Index,Sharpe_Ratio,Sortino_Ratio,Calmar_Ratio,Omega_Ratio,Pain_Ratio,Beta,Alpha%,R_Squared,Tracking_Error%,Information_Ratio,Winrate%
NL0009272764,4.41,2.38,,,8.28,-5.17,-0.66,-1.21,1.6176,0.099,0.14,0.854,1.018,2.727,,,,,,52.4
LU1435356149,3.95,1.88,1.93,,4.2,-2.79,-0.37,-0.53,0.8146,0.084,0.144,1.417,1.015,4.846,,,,,,48.8
IE00BFZPF439,3.97,1.82,,,5.74,-3.6,-0.57,-0.7,1.1417,0.066,0.105,1.103,1.013,3.48,,,,,,52.0
IE00BDFC6Q91,3.63,0.49,,,0.94,-0.34,-0.05,-0.1,0.0599,0.045,0.05,10.74,1.009,60.719,,,,,,65.3
IE000AYEFBK6,3.7,1.02,1.83,,2.95,-1.32,-0.3,-0.38,0.3586,0.035,0.055,2.799,1.006,10.309,,,,,,49.6
LU1923163676,3.65,0.21,1.82,,1.54,-0.37,0.0,-0.0,0.093,0.035,,9.883,1.013,39.223,,,,,,5.6
IE000XIBT2R7,3.83,4.04,,,9.89,-7.32,-0.99,-1.2,2.3895,0.024,0.044,0.523,1.004,1.603,,,,,,48.4
IE000ZWSN3F7,3.6,2.02,,,4.76,-3.31,-0.48,-0.56,1.0187,0.002,0.003,1.086,1.0,3.535,,,,,,47.6
IE000GE2BEZ9,3.48,1.52,1.71,,3.7,-2.66,-0.37,-0.45,0.828,-0.03,-0.051,1.309,0.994,4.205,,,,,,49.6
LU1547515053,3.41,2.23,,,5.57,-4.27,-0.61,-0.72,1.4304,-0.032,-0.048,0.799,0.994,2.387,,,,,,44.7
LU2099295466,3.25,1.69,1.56,,5.36,-3.92,-0.54,-0.6,1.2783,-0.063,-0.113,0.83,0.989,2.546,,,,,,53.6
IE0008YWAFL1,3.36,0.94,1.66,,3.01,-1.33,-0.26,-0.41,0.3799,-0.079,-0.116,2.52,0.986,8.833,,,,,,52.0
IE000W1AURU9,3.28,1.61,1.61,,3.75,-2.64,-0.32,-0.46,0.7688,-0.082,-0.138,1.243,0.986,4.273,,,,,,48.8
IE00BJK55B31,3.14,1.54,,,4.48,-2.56,-0.45,-0.58,0.7755,-0.101,-0.16,1.225,0.983,4.05,,,,,,52.0
IE00069MGEE1,2.95,0.45,,,5.47,-3.22,-0.61,-0.77,1.257,-0.117,-0.167,0.917,0.98,2.35,,,,,,51.2
IE000DYQE2Q3,2.61,1.94,,,7.63,-4.12,-0.76,-1.01,1.7949,-0.129,-0.175,0.633,0.976,1.454,,,,,,54.5
