ISIN,Rendimento_annuo%,Perf_1mese%,Perf_6mesi%,Perf_1anno%,Volatilita_annua%,Max_Drawdown%,VaR_95%_giorno,CVaR_95%_giorno,Ulcer_Index,Sharpe_Ratio,Sortino_Ratio,Calmar_Ratio,Omega_Ratio,Pain_Ratio,Beta,Alpha%,R_Squared,Tracking_Error%,Information_Ratio,Winrate%
LU2182388582,7.5,6.72,1.04,8.9,16.08,-25.38,-1.57,-2.27,8.0352,0.243,0.35,0.295,1.043,0.933,,,,,,52.4
LU1291103338,7.65,9.91,1.04,10.31,16.75,-28.56,-1.73,-2.43,10.9347,0.243,0.339,0.268,1.043,0.7,,,,,,49.8
LU1737652583,7.59,11.6,13.87,39.71,16.49,-23.88,-1.65,-2.42,11.363,0.242,0.347,0.318,1.043,0.668,,,,,,50.3
IE00BQZJBX31,7.48,2.78,13.0,25.37,16.05,-17.71,-1.37,-2.41,6.9093,0.242,0.281,0.422,1.05,1.083,,,,,,56.0
IE00B0M63060,7.02,2.55,9.0,20.98,14.2,-24.01,-1.39,-2.24,9.9089,0.241,0.307,0.292,1.043,0.708,,,,,,53.2
IE00BG36TC12,8.1,8.55,4.12,24.94,18.72,-34.12,-1.88,-2.53,14.8796,0.241,0.37,0.237,1.042,0.544,,,,,,51.7
IE00B2QWDY88,7.52,4.04,11.8,28.33,16.38,-32.91,-1.72,-2.24,15.4612,0.24,0.366,0.229,1.04,0.486,,,,,,51.5
IE00BL25JN58,6.92,-2.07,-14.59,-1.19,13.89,-15.63,-0.99,-1.73,6.7559,0.239,0.285,0.443,1.055,1.024,,,,,,53.1
IE00BYWQWR46,9.41,4.03,-20.26,-0.85,24.36,-47.52,-2.42,-3.28,21.3747,0.239,0.371,0.198,1.041,0.44,,,,,,51.5
LU0671493277,7.5,7.83,6.87,18.63,16.4,-29.21,-1.65,-2.48,9.6469,0.238,0.321,0.257,1.042,0.777,,,,,,53.1
IE00B802KR88,6.47,1.18,5.28,4.04,12.09,-17.29,-1.23,-1.79,6.3307,0.238,0.325,0.374,1.041,1.022,,,,,,53.1
IE00BQN1K562,6.92,3.3,2.15,6.31,14.01,-19.69,-1.42,-2.06,6.6059,0.237,0.325,0.351,1.042,1.047,,,,,,52.7
LU2194447293,6.86,1.68,6.61,13.71,13.81,-20.27,-1.42,-2.06,7.171,0.236,0.326,0.338,1.041,0.957,,,,,,52.1
FR0013412020,7.53,11.51,12.34,36.3,16.68,-23.63,-1.62,-2.39,11.8735,0.236,0.348,0.319,1.041,0.634,,,,,,51.8
FR0013412012,7.96,14.19,14.15,43.55,18.71,-28.81,-1.81,-2.66,14.2984,0.234,0.348,0.276,1.041,0.557,,,,,,50.9
LU0629460675,7.32,8.19,-1.27,8.36,16.0,-26.76,-1.65,-2.35,9.3973,0.233,0.324,0.274,1.042,0.779,,,,,,49.6
IE00BKVL7778,6.17,1.23,1.22,2.23,11.13,-20.6,-1.07,-1.62,6.7658,0.232,0.316,0.3,1.041,0.912,,,,,,51.5
FR0010429068,7.39,11.5,13.15,38.06,16.45,-24.14,-1.6,-2.4,11.5927,0.231,0.33,0.306,1.04,0.638,,,,,,50.7
LU1681044480,7.7,13.64,13.33,40.08,17.89,-28.8,-1.75,-2.56,13.2093,0.23,0.338,0.267,1.04,0.583,,,,,,50.8
IE00BM9TV208,6.48,2.46,6.85,18.75,12.53,-14.92,-1.13,-2.01,5.536,0.23,0.238,0.434,1.053,1.171,,,,,,35.7
IE00BKM4GZ66,7.75,13.9,13.12,45.95,18.1,-35.66,-1.8,-2.48,16.462,0.23,0.345,0.217,1.04,0.471,,,,,,49.7
IE00B4YBJ215,8.06,7.74,9.01,27.92,19.47,-25.16,-1.92,-2.79,9.4848,0.229,0.338,0.32,1.04,0.85,,,,,,51.8
IE000H5X52W8,3.99,0.33,0.32,1.67,1.73,-1.24,-0.14,-0.23,0.3321,0.228,0.341,3.215,1.041,12.008,,,,,,51.8
IE00BNC1G699,7.41,6.92,-3.05,0.27,16.76,-28.34,-1.74,-2.46,9.4699,0.227,0.324,0.261,1.04,0.782,,,,,,52.6
LU1377382103,6.97,4.71,4.46,12.33,14.91,-27.11,-1.47,-2.21,9.2983,0.227,0.31,0.257,1.04,0.75,,,,,,51.4
IE00B6YX5D40,6.76,1.42,7.95,15.89,13.99,-15.26,-1.45,-2.06,5.4546,0.226,0.318,0.443,1.04,1.239,,,,,,52.3
LU1681044563,9.27,13.89,13.71,50.1,25.28,-28.57,-1.74,-2.86,14.7662,0.224,0.3,0.324,1.054,0.628,,,,,,51.7
LU1291097779,7.29,12.13,13.1,38.18,16.72,-25.18,-1.61,-2.4,12.1402,0.221,0.319,0.289,1.039,0.6,,,,,,51.7
LU1753045332,6.83,4.23,2.51,7.71,14.7,-26.12,-1.51,-2.15,8.8403,0.22,0.306,0.262,1.039,0.773,,,,,,53.2
LU2456436083,9.7,3.59,-12.0,13.13,27.7,-36.28,-2.51,-3.75,16.4933,0.22,0.338,0.267,1.038,0.588,,,,,,49.4
IE00BK5BC891,7.41,3.88,-0.88,13.83,17.49,-30.1,-1.77,-2.41,11.1261,0.218,0.336,0.246,1.037,0.666,,,,,,51.9
LU1437025296,6.75,5.37,0.04,13.1,14.49,-22.36,-1.39,-2.07,7.026,0.218,0.291,0.302,1.043,0.961,,,,,,41.5
IE000ZPUEP93,9.62,9.79,13.26,31.62,27.92,-50.65,-2.56,-4.25,23.9722,0.216,0.278,0.19,1.041,0.401,,,,,,46.8
IE00B5377D42,7.82,5.05,6.94,19.83,19.55,-24.6,-1.93,-2.82,8.8604,0.216,0.306,0.318,1.037,0.882,,,,,,52.0
