ISIN,Rendimento_annuo%,Volatilita_annua%,Sharpe_Ratio,Max_Drawdown%,Beta,Alpha%,Perf_1mese%,Perf_6mesi%,Perf_1anno%
IE00BYX2JD69,10.64,13.12,0.537,-7.8,,,6.08,4.97,
IE00058MW3M8,10.54,12.99,0.535,-9.54,,,7.8,4.93,
LU1923163759,3.96,0.7,0.533,-0.06,,,0.41,1.98,
IE000D1017N2,10.05,12.16,0.531,-6.35,,,4.88,,
IE0006FAD976,10.13,12.88,0.507,-8.33,,,8.11,,
IE00BJQRDM08,10.27,13.25,0.504,-9.09,,,9.24,,
LU2872292243,7.72,8.19,0.504,-4.81,,,4.01,,
IE000LIYGB49,9.98,12.89,0.495,-8.31,,,7.74,4.64,
IE000JQ2IJD3,9.55,12.18,0.489,-10.27,,,3.19,,
IE00BJQRDK83,9.63,12.34,0.489,-7.11,,,6.9,,
IE00077IIPQ8,10.08,13.48,0.481,-8.77,,,6.82,4.66,
NL0009272772,7.99,9.2,0.478,-5.48,,,4.34,,
FR0013412293,9.84,13.11,0.476,-9.64,,,7.66,4.56,
IE0000LVTJ08,9.35,12.12,0.475,-8.28,,,7.74,4.37,
FR001400SDN8,9.87,13.41,0.468,-8.33,,,7.37,4.55,
FR001400SDO6,9.87,13.41,0.468,-8.33,,,7.37,4.55,
LU2976313655,9.51,12.8,0.462,-8.77,,,8.08,,
IE00BHZPJ569,9.16,12.17,0.458,-7.18,,,6.07,,
IE00BLLZQS08,7.2,8.11,0.445,-5.29,,,3.9,,
IE00BHXMHQ65,9.25,13.07,0.433,-9.3,,,7.68,,
LU1681042864,9.25,13.26,0.427,-9.93,,,8.15,4.24,
IE000N4E8XZ6,5.22,3.82,0.425,-2.16,,,1.7,2.58,
IE00BFNNN236,7.49,9.22,0.422,-5.11,,,2.26,,
LU2870272577,8.89,12.91,0.41,-8.58,,,7.82,,
IE000M86QRT4,8.55,12.28,0.404,-8.76,,,4.79,,
IE000CN8T855,8.78,13.03,0.398,-8.56,,,7.89,,
IE000UZO4IC7,6.21,6.57,0.398,-3.98,,,2.21,,
IE000LZI2UH4,5.0,3.64,0.388,-2.0,,,1.87,,
LU2641925016,8.24,12.13,0.383,-8.39,,,6.37,3.8,
IE00BM9GRP64,6.34,7.17,0.383,-4.02,,,2.15,,
LU1615092217,8.39,12.78,0.375,-8.26,,,6.37,,
IE00BFZPF322,6.21,7.02,0.373,-3.51,,,1.47,3.0,
IE000QWCYQT0,8.26,12.92,0.361,-7.94,,,6.95,,
IE00BG0TQB18,5.36,4.96,0.357,-3.81,,,1.45,,
LU2491210618,7.75,11.78,0.353,-5.97,,,2.08,,
IE0006IP4XZ8,7.86,12.22,0.349,-8.24,,,7.45,3.6,
IE00032YLFR3,7.58,11.59,0.344,-7.86,,,6.34,3.49,
IE00094KNQN4,4.82,3.59,0.341,-1.96,,,1.64,2.38,
LU1953136527,7.64,12.58,0.321,-7.95,,,5.1,,
LU2872292169,5.86,7.15,0.317,-4.69,,,2.93,,
IE000UZCJS58,7.3,12.7,0.292,-8.19,,,7.03,,
IE000MGAVJV3,7.5,13.44,0.291,-9.65,,,8.33,3.33,
IE000YG82CF0,7.39,13.43,0.283,-9.62,,,8.27,3.28,
IE00030Y2P41,6.85,11.5,0.283,-7.57,,,4.62,3.12,
IE00BF92LV92,6.32,10.25,0.266,-6.95,,,1.46,,
IE00BF553838,4.98,5.88,0.235,-4.29,,,2.08,2.41,
IE000CXVOXQ1,6.41,12.32,0.228,-8.79,,,5.62,,
IE000W95TAE6,6.18,11.78,0.22,-9.69,,,6.99,,
IE0006YM7D84,4.47,4.0,0.219,-2.59,,,1.57,2.2,
IE00BFNNN343,4.4,4.12,0.196,-2.83,,,1.86,,
IE00BKF09C98,4.47,4.48,0.195,-2.71,,,1.8,2.19,
IE000R85HL30,6.0,12.66,0.19,-8.33,,,6.27,,
IE000QQ8Z0D8,5.96,12.45,0.19,-9.15,,,7.41,,
IE0007M3MLF3,5.98,12.65,0.189,-9.29,,,5.96,,
IE000O36LOH8,3.75,0.82,0.186,-0.18,,,0.38,,
LU1681040900,4.06,2.56,0.184,-1.0,,,0.45,2.02,
IE000F60HVH9,5.76,13.02,0.167,-8.72,,,7.82,,
LU2872292086,4.54,5.76,0.165,-4.01,,,2.58,,
IE000RSCXLM4,5.55,12.66,0.155,-9.64,,,8.79,,
IE000E4BATC9,5.68,13.43,0.155,-10.26,,,7.39,,
IE000VCBWFL8,5.39,13.05,0.138,-9.35,,,4.08,,
IE000N42HDP2,4.89,10.53,0.124,-7.82,,,4.43,,
LU1435356065,4.07,3.92,0.123,-2.75,,,1.76,2.0,
IE00BJP26C72,3.83,2.08,0.112,-0.95,,,-0.69,1.91,
IE00BLP53M98,4.19,5.66,0.106,-4.08,,,2.44,,
NL0009272764,4.41,8.28,0.099,-5.17,,,2.38,,
