ISIN,Rendimento_annuo%,Volatilita_annua%,Sharpe_Ratio,Max_Drawdown%,Beta,Alpha%,Perf_1mese%,Perf_6mesi%,Perf_1anno%
IE0000P0RPE6,16.11,11.67,1.073,-6.84,,,5.65,7.96,
LU2194447293,16.85,12.42,1.068,-6.3,,,3.66,8.3,
IE000LYBU7X5,18.49,13.99,1.065,-8.99,,,6.06,9.08,
IE000MKIH0W7,15.33,11.04,1.063,-6.65,,,7.15,,
IE0007WLHX89,18.52,14.05,1.062,-9.25,,,5.45,,
IE00BLRPRR04,23.1,18.44,1.058,-10.54,,,7.46,11.21,
IE00BKTLJC87,23.16,18.53,1.056,-10.41,,,9.16,11.23,
IE00BNTVVR89,58.6,52.12,1.055,-34.64,,,4.67,,
IE00BLB2GT26,10.92,6.95,1.054,-3.6,,,3.06,,
IE0003NQ0IY5,18.32,14.24,1.034,-9.6,,,7.28,8.97,
IE00BLB2GQ94,8.32,4.64,1.018,-1.82,,,3.09,,
LU2993402101,16.81,13.04,1.014,-8.14,,,3.75,,
IE0001UQQ933,16.19,12.46,1.011,-6.61,,,5.45,,
IE000ZUTO1I5,24.7,21.1,1.0,-10.49,,,0.99,,
LU1659681230,21.58,18.11,0.994,-10.95,,,7.7,10.4,
IE00BKTLJB70,22.4,19.01,0.989,-10.23,,,8.6,10.76,
IE00BDVPNG13,31.64,28.41,0.987,-15.61,,,18.24,14.69,
IE00BKY59K37,16.47,13.05,0.987,-8.52,,,6.84,8.06,
IE000I5NV504,19.49,16.25,0.979,-9.23,,,10.1,9.44,
LU2533813023,20.56,17.43,0.974,-8.0,,,0.0,9.91,
IE00BM9TV208,16.69,13.57,0.965,-9.21,,,3.54,,
IE000X9FTI22,20.18,17.21,0.964,-9.0,,,8.03,9.73,
IE00BLB2GS19,15.3,12.2,0.96,-6.95,,,7.95,,
IE00BMH5YL08,36.6,35.03,0.942,-18.96,,,13.55,,
IE000RITWOD4,17.32,14.58,0.941,-10.14,,,4.92,,
IE000Q8N7WY1,15.13,12.3,0.938,-6.08,,,6.38,,
LU1291098314,20.89,18.58,0.931,-13.39,,,7.95,9.98,
IE000C692SN6,18.2,15.74,0.928,-9.94,,,6.44,8.78,
IE00BYZK4552,27.12,25.37,0.927,-15.07,,,18.75,12.61,
IE000IDLWOL4,13.93,11.17,0.926,-7.14,,,4.39,,
IE0000902GT6,24.21,22.97,0.898,-13.79,,,10.83,11.3,
IE00000EF730,16.06,13.95,0.894,-9.04,,,4.77,,
IE00094GSCQ4,15.89,13.78,0.892,-7.91,,,7.42,7.7,
IE000D8XC064,15.52,13.4,0.89,-7.85,,,7.26,7.53,
IE000XD7KCJ7,32.99,33.15,0.887,-14.69,,,-6.41,,
IE0002PGSLZ5,15.32,13.41,0.875,-8.33,,,8.27,7.42,
IE0001VXZTV7,19.96,18.81,0.87,-11.3,,,8.93,,
LU2533813296,20.32,19.51,0.857,-7.39,,,6.77,9.59,
IE000WHL2ZK1,13.26,11.3,0.856,-6.69,,,6.53,6.46,
IE000KPJJWM6,19.59,18.78,0.852,-11.32,,,9.02,,
LU2976312335,15.8,14.44,0.846,-9.63,,,5.43,,
IE00BMDV7578,16.39,15.2,0.842,-7.11,,,6.57,,
IE0007FM00T9,13.32,11.59,0.84,-6.73,,,6.45,6.48,
IE000A7N3IV0,15.08,13.73,0.837,-8.87,,,7.87,,
LU1602144575,17.51,16.74,0.832,-10.63,,,8.7,8.33,
IE00BKY40J65,13.43,11.88,0.828,-7.75,,,7.65,6.52,
IE00BF4G7183,15.39,14.3,0.825,-9.97,,,4.69,,
LU2976314463,13.47,12.02,0.822,-6.17,,,2.02,,
IE00BYZNF849,14.25,13.0,0.82,-8.82,,,3.56,6.87,
NL0010408704,15.17,14.19,0.816,-7.97,,,5.43,,
IE00BYVJRR92,15.06,14.07,0.815,-8.69,,,8.84,7.23,
LU2976315866,15.49,14.59,0.815,-9.82,,,5.11,,
IE000F2IX674,19.79,19.94,0.812,-9.21,,,6.17,,
LU2059756325,17.27,16.9,0.809,-10.55,,,8.88,8.18,
FR0013412269,18.59,18.6,0.806,-11.34,,,13.24,8.73,
LU3147499878,13.09,11.79,0.806,-6.49,,,6.22,,
IE000UFAX9L6,16.26,15.76,0.804,-8.63,,,6.52,,
IE00BKS7L097,13.66,12.56,0.802,-8.79,,,8.13,6.6,
IE00BFM15T99,21.75,22.69,0.8,-11.84,,,2.18,9.99,
LU1603797587,12.46,11.09,0.8,-6.64,,,1.93,6.05,
IE00BGHQ0G80,13.92,12.96,0.796,-7.25,,,7.06,,
IE000IY9QFN9,14.9,14.22,0.795,-9.31,,,9.7,,
IE00BHZPJ783,15.16,14.56,0.794,-10.01,,,4.24,,
IE00BZ0XVF52,9.46,7.4,0.793,-4.82,,,2.71,4.66,
LU0959210278,12.69,11.54,0.789,-7.51,,,4.89,6.15,
IE0007ULOZS8,13.65,12.8,0.786,-8.97,,,8.19,6.58,
IE00BDR55471,17.88,18.24,0.783,-9.73,,,9.8,,
IE0000VX9GN7,13.46,12.69,0.777,-8.97,,,8.25,6.48,
IE000AGFZM58,15.76,15.71,0.775,-10.18,,,6.32,7.48,
LU2976311444,14.54,14.24,0.769,-10.04,,,5.12,,
IE00BLLZQ805,13.05,12.33,0.767,-7.53,,,6.41,,
FR001400SDJ6,20.53,22.16,0.764,-11.69,,,2.21,9.39,
LU0959210781,12.42,11.55,0.764,-7.55,,,4.83,6.0,
IE0001J5A2T9,14.71,14.69,0.757,-10.49,,,1.7,,
LU1291099718,14.45,14.35,0.757,-9.73,,,4.64,6.89,
IE0006WOV4I9,12.83,12.28,0.752,-6.63,,,6.1,,
IE00BYTH5T38,12.26,11.54,0.751,-7.54,,,4.8,,
IE000YARBD10,19.53,21.3,0.748,-11.43,,,2.57,8.95,
IE000P1IQS65,13.48,13.27,0.745,-7.49,,,6.5,,
IE0009VWHAE6,13.52,13.36,0.743,-8.13,,,8.43,6.47,
IE00BLSN7P11,15.14,15.58,0.741,-10.28,,,8.79,,
IE0000SS94R1,19.53,21.54,0.74,-12.07,,,2.61,8.92,
IE00002ZKAP0,14.09,14.28,0.735,-9.7,,,3.74,,
IE00BG370F43,19.12,21.24,0.731,-12.69,,,7.44,8.74,
IE0001JABD69,13.1,13.05,0.729,-8.2,,,6.97,,
LU1681042609,14.46,15.01,0.724,-10.05,,,4.43,,
IE0002DDYPW4,11.86,11.47,0.721,-6.06,,,5.61,5.72,
IE0004J37T45,11.92,11.56,0.721,-6.94,,,6.8,5.74,
LU0599612842,11.96,11.61,0.721,-7.71,,,5.76,,
LU1681041544,13.8,14.2,0.719,-9.26,,,7.05,6.55,
LU1603795458,12.97,13.04,0.719,-7.68,,,5.6,6.2,
NL0010731816,15.14,16.1,0.717,-10.3,,,6.37,,
IE00BDQZMX67,13.8,14.38,0.71,-7.66,,,7.39,,
LU0292109005,22.22,26.29,0.708,-16.55,,,5.86,9.78,
IE00BN2BCY94,12.32,12.38,0.705,-9.1,,,7.49,5.9,
IE000CV0WWL4,19.97,23.3,0.703,-13.05,,,0.17,,
IE00BJQRDL90,14.14,15.09,0.699,-11.3,,,5.7,,
LU2976313812,18.28,21.01,0.699,-10.4,,,0.89,,
LU1681040223,14.18,15.2,0.697,-10.9,,,5.33,6.68,
LU2870272734,13.83,14.77,0.693,-10.1,,,4.94,,
NL0009272780,9.81,8.97,0.692,-6.49,,,4.99,,
LU3174346182,11.47,11.44,0.688,-7.35,,,6.98,,
IE0005MWBFR7,11.58,11.69,0.684,-6.16,,,6.06,,
LU2800573128,20.04,24.07,0.683,-12.9,,,2.49,8.89,
IE00BKSCBX74,14.39,15.82,0.682,-10.63,,,6.06,,
IE000AZOUN82,13.62,14.75,0.68,-9.52,,,10.53,,
LU3147499951,12.27,12.75,0.68,-8.29,,,6.68,,
LU1377381717,12.3,12.82,0.679,-9.98,,,4.94,5.86,
LU1377382103,14.12,15.55,0.677,-9.29,,,5.14,6.62,
IE000PSF3A70,13.29,14.37,0.675,-7.18,,,6.61,6.28,
IE00BF4G6Y48,12.72,13.51,0.675,-8.43,,,7.21,,
IE000ATQR3N3,12.94,13.87,0.674,-8.91,,,7.65,,
IE000TG1LGI4,15.32,17.49,0.671,-9.79,,,7.94,,
IE000K1P4V37,13.58,15.0,0.666,-9.33,,,7.35,,
LU1940199711,13.61,15.17,0.661,-10.46,,,5.82,6.38,
IE0008FB2WZ1,12.53,13.57,0.659,-8.54,,,7.41,5.93,
IE000Z8BHG02,18.0,21.94,0.657,-11.07,,,7.15,,
IE000VXC51U5,12.9,14.21,0.655,-8.63,,,7.44,,
FR0013412285,11.09,11.47,0.654,-7.47,,,7.0,5.31,
IE0003UN5CT1,13.44,15.1,0.652,-10.93,,,5.34,,
LU2976315601,14.17,16.27,0.65,-10.29,,,5.92,,
IE000R9FA4A0,11.77,12.66,0.646,-8.9,,,8.23,,
IE000W8HP9L8,11.11,11.75,0.64,-6.82,,,6.17,5.31,
IE00BNC0M913,12.81,14.5,0.636,-9.56,,,6.13,,
IE00BKLTRN76,12.31,13.72,0.635,-10.19,,,4.42,5.8,
IE00BG0NY640,13.54,15.68,0.634,-9.77,,,6.39,,
LU3053349448,10.97,11.65,0.633,-7.12,,,7.19,,
IE00BH4GPZ28,11.19,12.04,0.631,-6.76,,,7.2,,
IE00BFNM3J75,12.74,14.53,0.63,-9.11,,,8.0,5.97,
IE0001GSQ2O9,11.41,12.4,0.63,-7.28,,,6.34,,
FR001400SDM0,11.4,12.47,0.627,-7.51,,,6.23,5.42,
LU0908501132,13.71,16.17,0.625,-10.61,,,6.02,,
IE000PB4LRO2,11.24,12.26,0.624,-7.22,,,6.39,5.35,
IE000C5YJ791,11.87,13.27,0.624,-10.14,,,8.7,5.61,
LU3086388124,12.99,15.06,0.624,-10.31,,,4.52,6.06,
IE000X7DRW38,13.07,15.33,0.619,-9.61,,,3.71,,
IE0008D0AIU9,11.8,13.28,0.618,-6.7,,,3.36,,
IE000GTJ2I49,18.46,24.11,0.617,-14.54,,,3.54,8.04,
IE000QCDDND5,17.14,21.98,0.616,-10.25,,,1.04,,
LU1940199984,12.62,14.66,0.616,-10.65,,,6.11,5.9,
IE000MW6GT38,18.44,24.12,0.616,-14.63,,,3.55,8.03,
FR001400KE06,13.55,16.21,0.614,-10.48,,,2.29,6.26,
IE00BKY55S33,18.23,23.92,0.612,-14.24,,,1.55,7.93,
IE000K48NTA1,11.24,12.51,0.611,-6.55,,,6.82,5.33,
FR0011440478,14.49,17.98,0.606,-12.6,,,4.51,6.6,
IE0007QB4QS2,11.07,12.39,0.603,-7.68,,,6.7,,
IE00BF4G7076,11.34,12.86,0.602,-8.4,,,8.43,,
IE0001W4ZVM2,12.59,15.0,0.6,-9.09,,,9.06,,
IE000XERHYF0,11.18,12.72,0.597,-7.3,,,7.75,,
IE000Q6C8036,11.17,12.73,0.595,-9.34,,,7.88,5.28,
IE00004PGEY9,13.45,16.65,0.592,-11.09,,,5.23,,
IE000IAPH329,5.25,2.8,0.591,-1.68,,,1.53,,
IE0007YP0PL1,10.96,12.62,0.584,-8.26,,,6.08,,
IE000BNLRWE6,13.31,16.74,0.58,-10.96,,,7.46,,
IE000QF66PE6,10.97,12.72,0.58,-9.2,,,7.55,,
FR001400ZGS5,11.11,12.99,0.578,-7.48,,,6.27,5.23,
IE0001O9L5K4,11.73,14.12,0.576,-7.93,,,6.85,,
NL0009690239,10.76,12.49,0.574,-8.09,,,5.42,,
IE000ST40PX8,18.64,26.2,0.574,-15.93,,,10.37,,
LU1291098827,12.88,16.21,0.573,-10.28,,,5.08,5.91,
IE000130VPV5,9.61,10.5,0.573,-6.98,,,8.03,4.6,
LU0908501058,12.85,16.38,0.565,-10.67,,,5.41,,
IE00BG36TC12,17.59,24.87,0.563,-14.64,,,5.12,7.47,
IE000WQ5O293,12.36,15.61,0.561,-8.94,,,7.71,5.69,
LU1691909508,10.07,11.56,0.561,-6.72,,,3.2,,
IE00BJ5JP097,12.47,15.86,0.56,-10.54,,,5.79,5.73,
LU2870272908,10.7,12.71,0.559,-7.78,,,6.79,,
FR001400KH45,10.52,12.49,0.555,-8.7,,,5.48,4.95,
IE0004HBJKG0,10.62,12.66,0.555,-6.5,,,6.54,4.99,
IE000KYX7IP4,11.98,15.14,0.554,-9.66,,,3.83,,
IE000R7HJVO6,11.18,13.71,0.553,-8.61,,,8.06,,
IE00BNG8L278,11.84,15.09,0.546,-9.84,,,9.05,,
IE00BNG8L385,11.96,15.39,0.544,-10.01,,,8.84,,
IE00063GNWK1,11.88,15.25,0.544,-10.54,,,8.82,,
LU2216829809,12.3,16.04,0.543,-9.02,,,9.11,,
IE000EHPAS96,10.62,12.94,0.543,-7.86,,,6.95,4.98,
IE00BYX2JD69,10.64,13.12,0.537,-7.8,,,6.08,4.97,
FR001400SDI8,12.57,16.78,0.535,-10.41,,,4.1,5.7,
IE00058MW3M8,10.54,12.99,0.535,-9.54,,,7.8,4.93,
LU1655103486,11.06,14.0,0.534,-10.94,,,3.97,,
IE00BNC1F287,13.4,18.38,0.534,-11.24,,,10.36,,
LU1923163759,3.96,0.7,0.533,-0.06,,,0.41,1.98,
IE00BKSBGT50,11.66,15.13,0.533,-9.91,,,4.14,,
IE000D1017N2,10.05,12.16,0.531,-6.35,,,4.88,,
IE000PEAJOT0,11.13,14.3,0.527,-11.05,,,9.62,5.15,
IE000XNILW20,12.47,16.88,0.526,-9.51,,,6.08,5.64,
IE00BKSBGV72,10.82,13.87,0.521,-8.99,,,8.29,,
IE00018LB0D8,11.48,15.23,0.518,-10.26,,,5.04,5.26,
IE00BJZ2DC62,10.91,14.12,0.518,-9.64,,,9.12,5.05,
IE00BKSBGS44,10.7,13.8,0.515,-9.56,,,9.35,,
IE0001YGXFO5,10.68,13.86,0.511,-9.3,,,7.61,4.94,
LU3086268227,12.18,16.88,0.509,-10.5,,,6.38,5.49,
IE000YNE6S57,10.64,13.87,0.508,-9.3,,,7.57,4.92,
IE0006FAD976,10.13,12.88,0.507,-8.33,,,8.11,,
IE000SACNHU2,17.92,28.25,0.507,-15.41,,,16.02,,
IE00BJQRDM08,10.27,13.25,0.504,-9.09,,,9.24,,
LU2872292243,7.72,8.19,0.504,-4.81,,,4.01,,
LU3008629340,11.51,15.84,0.5,-10.12,,,5.14,,
IE00BHZPJ015,11.78,16.41,0.499,-10.78,,,5.16,,
LU0322252338,11.43,15.7,0.499,-10.65,,,2.77,5.2,
LU1291108642,10.49,13.88,0.497,-9.18,,,7.52,4.84,
IE000YR7N5U8,10.88,14.67,0.497,-6.25,,,6.98,,
IE00BYZK4669,12.06,17.06,0.496,-8.4,,,2.8,5.41,
IE000LIYGB49,9.98,12.89,0.495,-8.31,,,7.74,4.64,
LU2023679090,16.13,25.38,0.494,-10.94,,,6.68,6.63,
IE000COQKPO9,12.66,18.48,0.491,-12.01,,,12.93,,
IE000BXC49I6,10.49,14.08,0.489,-9.61,,,8.23,,
IE000JQ2IJD3,9.55,12.18,0.489,-10.27,,,3.19,,
IE00BJQRDK83,9.63,12.34,0.489,-7.11,,,6.9,,
IE00077IIPQ8,10.08,13.48,0.481,-8.77,,,6.82,4.66,
IE00BVXBH163,11.38,16.22,0.48,-10.81,,,4.97,5.12,
NL0009272772,7.99,9.2,0.478,-5.48,,,4.34,,
IE000V0GDVU7,12.3,18.23,0.477,-13.52,,,8.99,,
LU3174346000,11.27,16.14,0.476,-10.47,,,5.73,,
FR0013412293,9.84,13.11,0.476,-9.64,,,7.66,4.56,
IE0000LVTJ08,9.35,12.12,0.475,-8.28,,,7.74,4.37,
IE00BNGFMY78,10.7,14.96,0.475,-9.34,,,3.43,,
FR001400SDN8,9.87,13.41,0.468,-8.33,,,7.37,4.55,
FR001400SDO6,9.87,13.41,0.468,-8.33,,,7.37,4.55,
IE000YASIPS3,10.63,15.07,0.467,-10.68,,,6.0,,
IE00BDGN9Z19,11.13,16.21,0.465,-10.11,,,4.91,,
IE00BK5H8015,10.49,14.92,0.462,-10.66,,,4.5,,
LU2976313655,9.51,12.8,0.462,-8.77,,,8.08,,
IE00BHZPJ569,9.16,12.17,0.458,-7.18,,,6.07,,
IE0004CIQ1O4,10.19,14.6,0.452,-10.25,,,7.87,,
LU1377382368,9.8,13.96,0.445,-10.47,,,4.5,4.48,
IE00BLLZQS08,7.2,8.11,0.445,-5.29,,,3.9,,
